"","species","long_degrees","lat_degrees","presence"
"1993","mat",163.190425373298,-77.6362206882511,0
"1994","mat",163.179709326585,-77.6263448457075,0
"1995","mat",163.250897201282,-77.5948630498294,0
"1996","mat",163.143115255016,-77.6325794794249,0
"1997","mat",163.266698531011,-77.5903179140045,0
"1998","mat",163.324615095713,-77.606289284918,0
"1999","mat",163.255306451,-77.6097265858257,0
"2000","mat",163.345236029603,-77.6164955835261,0
"2001","mat",163.12331300847,-77.6044674535188,0
"2002","mat",163.283621748444,-77.5984842726319,0
"2003","mat",163.070276650384,-77.6083490498613,0
"2004","mat",163.214055938286,-77.6326229774693,0
"2005","mat",163.236850357528,-77.5826288957634,0
"2006","mat",163.180892647799,-77.6354584596302,0
"2007","mat",163.281102055255,-77.592905910926,0
"2008","mat",163.131479954565,-77.6500265564448,0
"2009","mat",163.196592947945,-77.6205066787372,0
"2010","mat",163.211997634381,-77.5961219022918,0
"2011","mat",163.265220903749,-77.5982558508431,0
"2012","mat",163.0462637332,-77.6014200431125,0
"2013","mat",163.267100178463,-77.607226361317,0
"2014","mat",163.2858830028,-77.6397015729908,0
"2015","mat",163.054838083263,-77.6008629655475,0
"2016","mat",163.083594434289,-77.5985841379415,0
"2017","mat",163.1441034531,-77.6308983587889,0
"2018","mat",163.188088739047,-77.6373837970771,0
"2019","mat",163.259190641089,-77.5932526205501,0
"2020","mat",163.223677575637,-77.6242647891534,0
"2021","mat",163.342626259293,-77.6149361452313,0
"2022","mat",163.267370529776,-77.6115225643335,0
"2023","mat",163.320487906473,-77.5948841210097,0
"2024","mat",163.127978056255,-77.5929888733044,0
"2025","mat",163.155016721296,-77.6360930579801,0
"2026","mat",163.167679056695,-77.6371922122313,0
"2027","mat",163.187774538755,-77.594446721582,0
"2028","mat",163.28213909365,-77.6350023950123,0
"2029","mat",163.062058295607,-77.6247313394605,0
"2030","mat",163.193464816892,-77.6510210732419,0
"2031","mat",163.11483881952,-77.6263377557935,0
"2032","mat",163.140062846907,-77.593602384164,0
"2033","mat",163.018576072708,-77.6070097939721,0
"2034","mat",163.061736694244,-77.6074391394686,0
"2035","mat",163.323255754401,-77.6227523576411,0
"2036","mat",163.286962034845,-77.6247775517935,0
"2037","mat",163.041652171047,-77.6026953957433,0
"2038","mat",163.304827779794,-77.6163423275612,0
"2039","mat",163.107233771068,-77.6454441735005,0
"2040","mat",163.240738086121,-77.6451858028102,0
"2041","mat",163.062816754806,-77.6048147144891,0
"2042","mat",163.287216138559,-77.6177186827873,0
"2043","mat",163.126746788759,-77.591945859102,0
"2044","mat",163.285031252915,-77.6202445789168,0
"2045","mat",163.108495881451,-77.6228000115816,0
"2046","mat",163.194378649994,-77.6349107485399,0
"2047","mat",163.043014921792,-77.6387442106937,0
"2048","mat",163.337392275997,-77.5871848554825,0
"2049","mat",163.16233015026,-77.5917963827229,0
"2050","mat",163.32854128579,-77.6049424891231,0
"2051","mat",163.219132833993,-77.632844947879,0
"2052","mat",163.147353330755,-77.634343523065,0
"2053","mat",163.213290900414,-77.6280844288787,0
"2054","mat",163.153340085364,-77.5930224532624,0
"2055","mat",163.260304585759,-77.6303522672491,0
"2056","mat",163.039180834393,-77.6082247129216,0
"2057","mat",163.294830087538,-77.614153832702,0
"2058","mat",163.22023299996,-77.6240356313616,0
"2059","mat",163.102492343808,-77.5989625423504,0
"2060","mat",163.202539008908,-77.5873245254542,0
"2061","mat",163.069018578263,-77.6146075861497,0
"2062","mat",163.171536059994,-77.5859223978082,0
"2063","mat",163.118766336128,-77.6448033357499,0
"2064","mat",163.33213933417,-77.6204730399011,0
"2065","mat",163.307220233547,-77.6268126514789,0
"2066","mat",163.027781209265,-77.6340156614949,0
"2067","mat",163.298768228048,-77.6349239014474,0
"2068","mat",163.081390484266,-77.5994313642096,0
"2069","mat",163.207240205855,-77.6194116777152,0
"2070","mat",163.318488704382,-77.5959769204133,0
"2071","mat",163.118883876583,-77.6369769813495,0
"2072","mat",163.333324762168,-77.6070853983368,0
"2073","mat",163.244074259299,-77.6228799340286,0
"2074","mat",163.223898346106,-77.6248577488697,0
"2075","mat",163.203980966118,-77.6346939401405,0
"2076","mat",163.167708609202,-77.6480227133481,0
"2077","mat",163.170871818583,-77.6399386252231,0
"2078","mat",163.257803987401,-77.6298047699863,0
"2079","mat",163.065847866553,-77.6386561768667,0
"2080","mat",163.240606526666,-77.5877826745336,0
"2081","mat",163.276388050638,-77.6393966623133,0
"2082","mat",163.255254989898,-77.6385511341505,0
"2083","mat",163.081542816803,-77.6428218765155,0
"2084","mat",163.206266450896,-77.6381077859688,0
"2085","mat",163.152045420716,-77.6215018014259,0
"2086","mat",163.015696939359,-77.6338162744253,0
"2087","mat",163.241690379325,-77.6218426304771,0
"2088","mat",163.158100955622,-77.6429976148463,0
"2089","mat",163.257007473991,-77.6348745312043,0
"2090","mat",163.059751988769,-77.6514665473163,0
"2091","mat",163.089928639583,-77.5984890134817,0
"2092","mat",163.198651420231,-77.6369533828945,0
"2093","mat",163.003517635925,-77.6446563806232,0
"2094","mat",163.136006553683,-77.5936891985064,0
"2095","mat",163.122361185646,-77.5974490531073,0
"2096","mat",163.071182491842,-77.5979694009435,0
