"","Model.name","Algo","Run","Dataset","Expl.var","Rand","Var.imp"
"206","AllData_RUN2_MARS","MARS","RUN2","AllData","Average_GCW","rand1",0.639863
"207","AllData_RUN2_MARS","MARS","RUN2","AllData","Elevation","rand1",0.119155
"208","AllData_RUN2_MARS","MARS","RUN2","AllData","Slope","rand1",0.122002
"209","AllData_RUN2_MARS","MARS","RUN2","AllData","Aspect","rand2",0.191
"210","AllData_RUN2_MARS","MARS","RUN2","AllData","Average_GCW","rand2",0.635659
"211","AllData_RUN2_MARS","MARS","RUN2","AllData","Elevation","rand2",0.120049
"212","AllData_RUN2_MARS","MARS","RUN2","AllData","Slope","rand2",0.119681
"213","AllData_RUN2_MARS","MARS","RUN2","AllData","Aspect","rand3",0.185445
"214","AllData_RUN2_MARS","MARS","RUN2","AllData","Average_GCW","rand3",0.640673
"215","AllData_RUN2_MARS","MARS","RUN2","AllData","Elevation","rand3",0.118859
"216","AllData_RUN2_MARS","MARS","RUN2","AllData","Slope","rand3",0.119256
"217","AllData_RUN2_RF","RF","RUN2","AllData","Aspect","rand1",0.182347
"218","AllData_RUN2_RF","RF","RUN2","AllData","Average_GCW","rand1",0.82375
"219","AllData_RUN2_RF","RF","RUN2","AllData","Elevation","rand1",0.126711
"220","AllData_RUN2_RF","RF","RUN2","AllData","Slope","rand1",0.221281
"221","AllData_RUN2_RF","RF","RUN2","AllData","Aspect","rand2",0.195026
"222","AllData_RUN2_RF","RF","RUN2","AllData","Average_GCW","rand2",0.82394
"223","AllData_RUN2_RF","RF","RUN2","AllData","Elevation","rand2",0.129729
"224","AllData_RUN2_RF","RF","RUN2","AllData","Slope","rand2",0.234384
"225","AllData_RUN2_RF","RF","RUN2","AllData","Aspect","rand3",0.188843
"226","AllData_RUN2_RF","RF","RUN2","AllData","Average_GCW","rand3",0.845584
"227","AllData_RUN2_RF","RF","RUN2","AllData","Elevation","rand3",0.136028
"228","AllData_RUN2_RF","RF","RUN2","AllData","Slope","rand3",0.235409
"229","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Aspect","rand1",0.179234
"230","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Average_GCW","rand1",0.765143
"231","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Elevation","rand1",0.083619
"232","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Slope","rand1",0.105049
"233","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Aspect","rand2",0.18363
"234","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Average_GCW","rand2",0.743575
"235","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Elevation","rand2",0.084321
"236","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Slope","rand2",0.107828
"237","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Aspect","rand3",0.18546
"238","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Average_GCW","rand3",0.758129
"239","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Elevation","rand3",0.089957
"240","AllData_RUN2_MAXENT.Phillips.2","MAXENT.Phillips.2","RUN2","AllData","Slope","rand3",0.107171
