"","SD","species","long_degrees","lat_degrees","presence"
"411",253,"mat",163.2180424,-77.63505091,1
"412",498,"mat",163.2386154,-77.64187627,1
"413",352,"mat",163.2079228,-77.64683497,1
"414",767,"mat",163.2059439,-77.65002306,1
"415",25,"mat",163.2720172,-77.58987387,1
"416",413,"mat",163.2153756,-77.63614586,1
"417",343,"mat",163.2042444,-77.64933178,1
"418",739,"mat",163.1219178,-77.60524181,1
"419",518,"mat",163.0034984,-77.60975572,1
"420",598,"mat",163.1850562,-77.58457121,1
"421",499,"mat",163.0740275,-77.61224718,1
"422",773,"mat",163.2041505,-77.64835393,1
"423",336,"mat",163.1805749,-77.58528942,1
"424",964,"mat",163.2200124,-77.63518188,1
"425",608,"mat",163.1378463,-77.65359869,1
"426",747,"mat",163.2067923,-77.64526775,1
"427",689,"mat",163.2076418,-77.64561338,1
"428",290,"mat",163.3316877,-77.61774996,1
"429",106,"mat",163.0020312,-77.60972618,1
"430",217,"mat",163.2090983,-77.64379017,1
"431",494,"mat",163.2325286,-77.63142228,1
"432",108,"mat",163.0392673,-77.61517665,1
"433",128,"mat",163.2253312,-77.6345292,1
"434",307,"mat",163.2815101,-77.62724891,1
"435",109,"mat",163.0366843,-77.61347461,1
"436",445,"mat",163.1458773,-77.64675244,1
"437",308,"mat",163.2190376,-77.63522116,1
"438",918,"mat",163.2441089,-77.64625359,1
"439",416,"mat",163.2437302,-77.58979485,1
"440",694,"mat",163.2894692,-77.63014634,1
"441",51,"mat",163.034891,-77.61344648,1
"442",390,"mat",163.2049242,-77.64111837,1
"443",67,"mat",163.2359212,-77.63441166,1
"444",948,"mat",163.2083515,-77.64281521,1
"445",633,"mat",163.1385153,-77.6537706,1
"446",211,"mat",163.0433461,-77.61330948,1
"447",975,"mat",163.152024,-77.64613269,1
"448",549,"mat",163.1820262,-77.63017797,1
"449",981,"mat",163.109109,-77.65556826,1
"450",536,"mat",163.1281544,-77.64210957,1
"451",811,"mat",163.2160555,-77.63474531,1
"452",78,"mat",163.284142,-77.62748112,1
"453",364,"mat",163.0299565,-77.6128363,1
"454",632,"mat",163.0376103,-77.62863332,1
"455",684,"mat",163.2349334,-77.58627117,1
"456",392,"mat",163.2867919,-77.62788792,1
"457",496,"mat",163.0245048,-77.62784431,1
"458",245,"mat",163.2033031,-77.6514322,1
"459",791,"mat",163.130615,-77.59158047,1
"460",212,"mat",163.0607704,-77.62298953,1
"461",214,"mat",163.3349045,-77.59897169,1
"462",85,"mat",163.2645054,-77.62673418,1
"463",525,"mat",163.3025175,-77.63018927,1
"464",239,"mat",163.0625222,-77.61480763,1
"465",521,"mat",163.2086823,-77.63778268,1
"466",476,"mat",163.3430899,-77.61622663,1
"467",894,"mat",163.2848412,-77.63271868,1
"468",278,"mat",163.2874186,-77.6276404,1
"469",955,"mat",163.2400977,-77.63376385,1
"470",281,"mat",163.1022662,-77.65206728,1
"471",537,"mat",163.0135543,-77.63151846,1
"472",869,"mat",163.2034149,-77.64919568,1
"473",96,"mat",163.0752191,-77.61475791,1
"474",79,"mat",163.2325595,-77.63173659,1
"475",341,"mat",163.0046542,-77.60996108,1
"476",325,"mat",163.1957037,-77.65223413,1
"477",477,"mat",163.1382388,-77.59140897,1
"478",796,"mat",163.2327535,-77.61213534,1
"479",284,"mat",163.2881258,-77.62658889,1
"480",799,"mat",163.2090509,-77.62806828,1
"481",267,"mat",163.2046837,-77.64880578,1
"482",928,"mat",163.2354672,-77.61324109,1
"483",547,"mat",163.2873058,-77.62813007,1
"484",727,"mat",163.2118863,-77.63210854,1
"485",196,"mat",163.2639474,-77.61471786,1
"486",328,"mat",163.0357278,-77.61372279,1
"487",722,"mat",163.1771394,-77.64239229,1
"488",235,"mat",163.2909,-77.62979019,1
"489",304,"mat",163.2113824,-77.64378007,1
"490",225,"mat",163.0499629,-77.61845465,1
"491",39,"mat",163.2088678,-77.64309243,1
"492",322,"mat",163.0392095,-77.61447815,1
"493",660,"mat",163.206282,-77.65183834,1
"494",736,"mat",163.205169,-77.62668792,1
"495",579,"mat",163.1008692,-77.63802833,1
"496",512,"mat",163.2012311,-77.65196537,1
"497",454,"mat",163.2074971,-77.64411169,1
"498",729,"mat",163.1202652,-77.59399892,1
"499",513,"mat",163.1769008,-77.64158975,1
"500",207,"mat",163.3004537,-77.62286188,1
"501",29,"mat",163.2284117,-77.63434069,1
"502",764,"mat",163.2036128,-77.65125615,1
"503",432,"mat",163.2611036,-77.59125227,1
"504",804,"mat",163.104244,-77.59668457,1
"505",996,"mat",163.178864,-77.62949288,1
"506",471,"mat",163.1471444,-77.64632788,1
"507",997,"mat",163.098181,-77.59615008,1
"508",944,"mat",163.0260617,-77.61299071,1
"509",772,"mat",163.2356839,-77.59391925,1
"510",527,"mat",163.0462701,-77.61714126,1
"511",775,"mat",163.1548799,-77.58854396,1
"512",945,"mat",163.263072,-77.58981067,1
"513",704,"mat",163.3368379,-77.61716575,1
"514",654,"mat",163.0965561,-77.60922292,1
"515",123,"mat",163.2780242,-77.58981081,1
"516",921,"mat",163.0711704,-77.61501839,1
"517",367,"mat",163.2010402,-77.64997474,1
"518",131,"mat",163.1294464,-77.64014777,1
"519",700,"mat",163.2559899,-77.63774417,1
