OID_,pointid,grid_code,longitude,lattitude
223,544449,1,163.041453009999998,-77.616006790000000
224,544450,1,163.041615809999996,-77.616006159999998
225,544451,1,163.041778609999994,-77.616005540000003
226,544452,1,163.041941400000013,-77.616004919999995
227,545040,1,163.040967510000002,-77.616043570000002
228,545041,1,163.041130310000000,-77.616042949999994
229,545042,1,163.041293109999998,-77.616042329999999
230,545043,1,163.041455909999996,-77.616041710000005
231,545044,1,163.041618699999987,-77.616041089999996
232,545045,1,163.041781500000013,-77.616040470000002
233,545641,1,163.040970399999992,-77.616078500000000
234,545642,1,163.041133199999990,-77.616077880000006
235,545643,1,163.041295999999988,-77.616077259999997
236,545644,1,163.041458799999987,-77.616076640000003
237,545645,1,163.041621600000013,-77.616076010000000
238,545646,1,163.041784400000012,-77.616075390000006
239,546252,1,163.040973299999990,-77.616113420000005
240,546253,1,163.041136099999989,-77.616112799999996
241,546254,1,163.041298899999987,-77.616112180000002
242,546255,1,163.041461700000013,-77.616111559999993
243,546256,1,163.041624490000004,-77.616110939999999
244,546257,1,163.041787300000010,-77.616110320000004
245,546839,1,163.040976190000009,-77.616148350000003
246,546840,1,163.041138990000007,-77.616147729999994
247,546841,1,163.041301790000006,-77.616147110000000
248,546842,1,163.041464590000004,-77.616146490000006
249,546843,1,163.041627390000002,-77.616145860000003
250,546844,1,163.041790190000000,-77.616145239999994
251,547425,1,163.041141890000006,-77.616182649999999
252,547426,1,163.041304679999996,-77.616182030000004
253,547427,1,163.041467490000002,-77.616181409999996
254,547428,1,163.041630290000001,-77.616180790000001
255,547429,1,163.041793089999999,-77.616180170000007
256,547430,1,163.041955889999997,-77.616179549999998
257,548035,1,163.041144779999996,-77.616217579999997
258,548036,1,163.041307579999994,-77.616216960000003
259,548037,1,163.041470379999993,-77.616216330000000
260,548038,1,163.041633179999991,-77.616215710000006
261,548039,1,163.041795979999989,-77.616215089999997
262,548040,1,163.041958779999987,-77.616214470000003
263,548041,1,163.042121589999994,-77.616213849999994
264,548637,1,163.041147669999987,-77.616252500000002
265,548638,1,163.041310470000013,-77.616251879999993
266,548639,1,163.041473279999991,-77.616251259999999
267,548644,1,163.042287289999990,-77.616248150000004
268,550591,1,163.191090870000011,-77.615744260000000
269,554113,1,163.190947940000001,-77.615954509999995
270,563968,1,163.270447230000002,-77.616190050000000
271,572357,1,163.101671549999992,-77.617447369999994
272,627537,1,163.107791550000002,-77.620357290000001
273,633123,1,163.115307519999988,-77.620606199999997
274,687839,1,163.277123609999990,-77.622587640000006
275,691453,1,163.278118610000007,-77.622757680000007
276,691454,1,163.278281480000004,-77.622756920000000
277,710910,1,163.188305600000007,-77.624176390000002
278,761494,1,163.287481219999989,-77.626661810000002
279,762011,1,163.270051870000003,-77.626778329999993
280,762067,1,163.285203880000012,-77.626707469999999
281,762081,1,163.287484809999995,-77.626696730000006
282,762099,1,163.024504839999992,-77.627844310000000
283,762634,1,163.287325470000013,-77.626732419999996
284,762638,1,163.287977159999997,-77.626729350000005
285,762639,1,163.288140090000013,-77.626728580000005
286,763214,1,163.287329050000011,-77.626767340000001
287,763218,1,163.287980739999995,-77.626764269999995
288,763219,1,163.288143670000011,-77.626763499999996
289,763767,1,163.287006780000013,-77.626803800000005
290,763768,1,163.287169699999993,-77.626803030000005
291,763769,1,163.287332630000009,-77.626802269999999
292,763773,1,163.287984330000000,-77.626799190000000
293,764347,1,163.287987909999998,-77.626834119999998
294,764348,1,163.288150839999986,-77.626833349999998
295,764898,1,163.285221760000013,-77.626882080000001
296,764899,1,163.285384679999993,-77.626881319999995
297,764900,1,163.285547610000009,-77.626880549999996
298,764907,1,163.286688090000013,-77.626875179999999
299,764911,1,163.287339790000004,-77.626872109999994
300,764913,1,163.287665640000000,-77.626870569999994
301,764914,1,163.287828569999988,-77.626869810000002
302,765440,1,163.285062399999987,-77.626917770000006
303,765441,1,163.285225330000003,-77.626917000000006
304,765442,1,163.285388259999991,-77.626916240000000
305,765443,1,163.285551179999999,-77.626915470000000
306,765450,1,163.286691670000010,-77.626910100000003
307,765451,1,163.286854589999990,-77.626909339999997
